against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_total,pokedex_number,name,classfication,capture_rate,height_m,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,weight_kg
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,300,27,Sandshrew,Mouse Pokémon,255,,50,75,90,10,35,40,ground,ice,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,450,28,Sandslash,Mouse Pokémon,90,,75,100,120,25,65,65,ground,ice,
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,275,29,Nidoran-f,Poison Pin Pokémon,235,0.4,55,47,52,40,40,41,poison,,7.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,365,30,Nidorina,Poison Pin Pokémon,120,0.8,70,62,67,55,55,56,poison,,20.0
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,505,31,Nidoqueen,Drill Pokémon,45,1.3,90,92,87,75,85,76,poison,ground,60.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,273,32,Nidoran-m,Poison Pin Pokémon,235,0.5,46,57,40,40,40,50,poison,,9.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,365,33,Nidorino,Poison Pin Pokémon,120,0.9,61,72,57,55,55,65,poison,,19.5
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,505,34,Nidoking,Drill Pokémon,45,1.4,81,102,77,85,75,85,poison,ground,62.0
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,323,35,Clefairy,Fairy Pokémon,150,0.6,70,45,48,60,65,35,fairy,,7.5
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,483,36,Clefable,Fairy Pokémon,25,1.3,95,70,73,95,90,60,fairy,,40.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,299,37,Vulpix,Fox Pokémon,190,,38,41,40,50,65,65,fire,ice,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,505,38,Ninetales,Fox Pokémon,75,,73,67,75,81,100,109,fire,ice,
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,270,39,Jigglypuff,Balloon Pokémon,170,0.5,115,45,20,45,25,20,normal,fairy,5.5
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,435,40,Wigglytuff,Balloon Pokémon,50,1.0,140,70,45,85,50,45,normal,fairy,12.0
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,245,41,Zubat,Bat Pokémon,255,0.8,40,45,35,30,40,55,poison,flying,7.5
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,455,42,Golbat,Bat Pokémon,90,1.6,75,80,70,65,75,90,poison,flying,55.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,320,43,Oddish,Weed Pokémon,255,0.5,45,50,55,75,65,30,grass,poison,5.4
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,395,44,Gloom,Weed Pokémon,120,0.8,60,65,70,85,75,40,grass,poison,8.6
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,490,45,Vileplume,Flower Pokémon,45,1.2,75,80,85,110,90,50,grass,poison,18.6
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,285,46,Paras,Mushroom Pokémon,190,0.3,35,70,55,45,55,25,bug,grass,5.4
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,405,47,Parasect,Mushroom Pokémon,75,1.0,60,95,80,60,80,30,bug,grass,29.5
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,305,48,Venonat,Insect Pokémon,190,1.0,60,55,50,40,55,45,bug,poison,30.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,450,49,Venomoth,Poison Moth Pokémon,75,1.5,70,65,60,90,75,90,bug,poison,12.5
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,265,50,Diglett,Mole Pokémon,255,,10,55,30,35,45,90,ground,ground,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,425,51,Dugtrio,Mole Pokémon,50,,35,100,60,50,70,110,ground,ground,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,290,52,Meowth,Scratch Cat Pokémon,255,,40,35,35,50,40,90,normal,dark,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,440,53,Persian,Classy Cat Pokémon,90,,65,60,60,75,65,115,normal,dark,
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,320,54,Psyduck,Duck Pokémon,190,0.8,50,52,48,65,50,55,water,,19.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,500,55,Golduck,Duck Pokémon,75,1.7,80,82,78,95,80,85,water,,76.6
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,305,56,Mankey,Pig Monkey Pokémon,190,0.5,40,80,35,35,45,70,fighting,,28.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,455,57,Primeape,Pig Monkey Pokémon,75,1.0,65,105,60,60,70,95,fighting,,32.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,350,58,Growlithe,Puppy Pokémon,190,0.7,55,70,45,70,50,60,fire,,19.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,555,59,Arcanine,Legendary Pokémon,75,1.9,90,110,80,100,80,95,fire,,155.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,300,60,Poliwag,Tadpole Pokémon,255,0.6,40,50,40,40,40,90,water,,12.4
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,385,61,Poliwhirl,Tadpole Pokémon,120,1.0,65,65,65,50,50,90,water,,20.0
0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,510,62,Poliwrath,Tadpole Pokémon,45,1.3,90,95,95,70,90,70,water,fighting,54.0
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,310,63,Abra,Psi Pokémon,200,0.9,25,20,15,105,55,90,psychic,,19.5
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,400,64,Kadabra,Psi Pokémon,100,1.3,40,35,30,120,70,105,psychic,,56.5
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,600,65,Alakazam,Psi Pokémon,50,1.5,55,50,45,135,95,120,psychic,,48.0
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,305,66,Machop,Superpower Pokémon,180,0.8,70,80,50,35,35,35,fighting,,19.5
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,405,67,Machoke,Superpower Pokémon,90,1.5,80,100,70,50,60,45,fighting,,70.5
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,505,68,Machamp,Superpower Pokémon,45,1.6,90,130,80,65,85,55,fighting,,130.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,300,69,Bellsprout,Flower Pokémon,255,0.7,50,75,35,70,30,40,grass,poison,4.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,390,70,Weepinbell,Flycatcher Pokémon,120,1.0,65,90,50,85,45,55,grass,poison,6.4
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,490,71,Victreebel,Flycatcher Pokémon,45,1.7,80,105,65,100,70,70,grass,poison,15.5
0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,335,72,Tentacool,Jellyfish Pokémon,190,0.9,40,40,35,50,100,70,water,poison,45.5
0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,515,73,Tentacruel,Jellyfish Pokémon,60,1.6,80,70,65,80,120,100,water,poison,55.0
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,300,74,Geodude,Rock Pokémon,255,,40,80,100,30,30,20,rock,ground,
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,390,75,Graveler,Rock Pokémon,120,,55,95,115,45,45,35,rock,ground,
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,495,76,Golem,Megaton Pokémon,45,,80,120,130,55,65,45,rock,ground,
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,410,77,Ponyta,Fire Horse Pokémon,190,1.0,50,85,55,65,65,90,fire,,30.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,500,78,Rapidash,Fire Horse Pokémon,60,1.7,65,100,70,80,80,105,fire,,95.0
2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,315,79,Slowpoke,Dopey Pokémon,190,1.2,90,65,65,40,40,15,water,psychic,36.0
2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,590,80,Slowbro,Hermit Crab Pokémon,75,1.6,95,75,110,100,80,30,water,psychic,78.5
0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,325,81,Magnemite,Magnet Pokémon,190,0.3,25,35,70,95,55,45,electric,steel,6.0
0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,465,82,Magneton,Magnet Pokémon,60,1.0,50,60,95,120,70,70,electric,steel,60.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,377,83,Farfetch'd,Wild Duck Pokémon,45,0.8,52,90,55,58,62,60,normal,flying,15.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,310,84,Doduo,Twin Bird Pokémon,190,1.4,35,85,45,35,35,75,normal,flying,39.2
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,470,85,Dodrio,Triple Bird Pokémon,45,1.8,60,110,70,60,60,110,normal,flying,85.2
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,325,86,Seel,Sea Lion Pokémon,190,1.1,65,45,55,45,70,45,water,,90.0
1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,475,87,Dewgong,Sea Lion Pokémon,75,1.7,90,70,80,70,95,70,water,ice,120.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,325,88,Grimer,Sludge Pokémon,190,,80,80,50,40,50,25,poison,poison,
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,500,89,Muk,Sludge Pokémon,75,,105,105,75,65,100,50,poison,poison,
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,305,90,Shellder,Bivalve Pokémon,190,0.3,30,65,100,45,25,40,water,,4.0
1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,525,91,Cloyster,Bivalve Pokémon,60,1.5,50,95,180,85,45,70,water,ice,132.5
0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,310,92,Gastly,Gas Pokémon,190,1.3,30,35,30,100,35,80,ghost,poison,0.1
0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,405,93,Haunter,Gas Pokémon,90,1.6,45,50,45,115,55,95,ghost,poison,0.1
0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,600,94,Gengar,Shadow Pokémon,45,1.5,60,65,60,130,75,110,ghost,poison,40.5
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,385,95,Onix,Rock Snake Pokémon,45,8.8,35,45,160,30,45,70,rock,ground,210.0
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,328,96,Drowzee,Hypnosis Pokémon,190,1.0,60,48,45,43,90,42,psychic,,32.4
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,483,97,Hypno,Hypnosis Pokémon,75,1.6,85,73,70,73,115,67,psychic,,75.6
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,325,98,Krabby,River Crab Pokémon,225,0.4,30,105,90,25,25,50,water,,6.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,475,99,Kingler,Pincer Pokémon,60,1.3,55,130,115,50,50,75,water,,60.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,330,100,Voltorb,Ball Pokémon,190,0.5,40,30,50,55,55,100,electric,,10.4
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,490,101,Electrode,Ball Pokémon,60,1.2,60,50,70,80,80,150,electric,,66.6
4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,325,102,Exeggcute,Egg Pokémon,90,0.4,60,40,80,60,45,40,grass,psychic,2.5
4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,530,103,Exeggutor,Coconut Pokémon,45,,95,105,85,125,75,45,grass,psychic,
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,320,104,Cubone,Lonely Pokémon,190,0.4,50,50,95,40,50,35,ground,,6.5
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,425,105,Marowak,Bone Keeper Pokémon,75,,60,80,110,50,80,45,ground,fire,
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,455,106,Hitmonlee,Kicking Pokémon,45,1.5,50,120,53,35,110,87,fighting,,49.8
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,455,107,Hitmonchan,Punching Pokémon,45,1.4,50,105,79,35,110,76,fighting,,50.2
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,385,108,Lickitung,Licking Pokémon,45,1.2,90,55,75,60,75,30,normal,,65.5
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,340,109,Koffing,Poison Gas Pokémon,190,0.6,40,65,95,60,45,35,poison,,1.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,490,110,Weezing,Poison Gas Pokémon,60,1.2,65,90,120,85,70,60,poison,,9.5
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,345,111,Rhyhorn,Spikes Pokémon,120,1.0,80,85,95,30,30,25,ground,rock,115.0
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,485,112,Rhydon,Drill Pokémon,60,1.9,105,130,120,45,45,40,ground,rock,120.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,450,113,Chansey,Egg Pokémon,30,1.1,250,5,40,60,105,50,normal,,34.6
2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,435,114,Tangela,Vine Pokémon,45,1.0,65,55,115,100,40,60,grass,,35.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,590,115,Kangaskhan,Parent Pokémon,45,2.2,105,95,80,40,80,90,normal,,80.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,295,116,Horsea,Dragon Pokémon,225,0.4,30,40,70,70,25,60,water,,8.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,440,117,Seadra,Dragon Pokémon,75,1.2,55,65,95,95,45,85,water,,25.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,320,118,Goldeen,Goldfish Pokémon,225,0.6,45,67,60,35,50,63,water,,15.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,450,119,Seaking,Goldfish Pokémon,60,1.3,80,92,65,65,80,68,water,,39.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,340,120,Staryu,Starshape Pokémon,225,0.8,30,45,55,70,55,85,water,,34.5
2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,520,121,Starmie,Mysterious Pokémon,60,1.1,60,75,85,100,85,115,water,psychic,80.0
1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,6400,460,122,Mr. Mime,Barrier Pokémon,45,1.3,40,45,65,100,120,90,psychic,fairy,54.5
0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,6400,500,123,Scyther,Mantis Pokémon,45,1.5,70,110,80,55,80,105,bug,flying,56.0
2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,455,124,Jynx,Humanshape Pokémon,45,1.4,65,50,35,115,95,95,ice,psychic,40.6
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,490,125,Electabuzz,Electric Pokémon,45,1.1,65,83,57,95,85,105,electric,,30.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,495,126,Magmar,Spitfire Pokémon,45,1.3,65,95,57,100,85,93,fire,,44.5
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,600,127,Pinsir,Stagbeetle Pokémon,45,1.5,65,125,100,55,70,85,bug,,55.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,490,128,Tauros,Wild Bull Pokémon,45,1.4,75,100,95,40,70,110,normal,,88.4
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,1280,200,129,Magikarp,Fish Pokémon,255,0.9,20,10,55,15,20,80,water,,10.0
0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,640,130,Gyarados,Atrocious Pokémon,45,6.5,95,125,79,60,100,81,water,flying,235.0
1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,10240,535,131,Lapras,Transport Pokémon,45,2.5,130,85,80,85,95,60,water,ice,220.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,288,132,Ditto,Transform Pokémon,35,0.3,48,48,48,48,48,48,normal,,4.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,8960,325,133,Eevee,Evolution Pokémon,45,0.3,55,55,50,45,65,55,normal,,6.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,8960,525,134,Vaporeon,Bubble Jet Pokémon,45,1.0,130,65,60,110,95,65,water,,29.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,8960,525,135,Jolteon,Lightning Pokémon,45,0.8,65,65,60,110,95,130,electric,,24.5
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,8960,525,136,Flareon,Flame Pokémon,45,0.9,65,130,60,95,110,65,fire,,25.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,395,137,Porygon,Virtual Pokémon,45,0.8,65,60,70,85,75,40,normal,,36.5
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,355,138,Omanyte,Spiral Pokémon,45,0.4,35,40,100,90,55,35,rock,water,7.5
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,495,139,Omastar,Spiral Pokémon,45,1.0,70,60,125,115,70,55,rock,water,35.0
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,355,140,Kabuto,Shellfish Pokémon,45,0.5,30,80,90,55,45,55,rock,water,11.5
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,495,141,Kabutops,Shellfish Pokémon,45,1.3,60,115,105,65,70,80,rock,water,40.5
0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,8960,615,142,Aerodactyl,Fossil Pokémon,45,1.8,80,105,65,60,75,130,rock,flying,59.0
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,540,143,Snorlax,Sleeping Pokémon,25,2.1,160,110,65,65,110,30,normal,,460.0
0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,20480,580,144,Articuno,Freeze Pokémon,3,1.7,90,85,100,95,125,85,ice,flying,55.4
0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,20480,580,145,Zapdos,Electric Pokémon,3,1.6,90,90,85,125,90,100,electric,flying,52.6
0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,20480,580,146,Moltres,Flame Pokémon,3,2.0,90,100,90,125,85,90,fire,flying,60.0
