pokedex_number,name,catch_rate,status,species,hp,attack,defense,sp_attack,sp_defense,speed
106,Hitmonlee,45,Normal,Kicking Pokémon,50,120,53,35,110,87
107,Hitmonchan,45,Normal,Punching Pokémon,50,105,79,35,110,76
108,Lickitung,45,Normal,Licking Pokémon,90,55,75,60,75,30
109,Koffing,190,Normal,Poison Gas Pokémon,40,65,95,60,45,35
110,Weezing,60.0,Normal,Poison Gas Pokémon,65,90,120,85,70,60
110,Galarian Weezing,,Normal,Poison Gas Pokémon,65,90,120,85,70,60
111,Rhyhorn,120,Normal,Spikes Pokémon,80,85,95,30,30,25
112,Rhydon,60,Normal,Drill Pokémon,105,130,120,45,45,40
113,Chansey,30,Normal,Egg Pokémon,250,5,5,35,105,50
114,Tangela,45,Normal,Vine Pokémon,65,55,115,100,40,60
115,Kangaskhan,45,Normal,Parent Pokémon,105,95,80,40,80,90
115,Mega Kangaskhan,45,Normal,Parent Pokémon,105,125,100,60,100,100
116,Horsea,225,Normal,Dragon Pokémon,30,40,70,70,25,60
117,Seadra,75,Normal,Dragon Pokémon,55,65,95,95,45,85
118,Goldeen,225,Normal,Goldfish Pokémon,45,67,60,35,50,63
119,Seaking,60,Normal,Goldfish Pokémon,80,92,65,65,80,68
120,Staryu,225,Normal,Star Shape Pokémon,30,45,55,70,55,85
121,Starmie,60,Normal,Mysterious Pokémon,60,75,85,100,85,115
122,Mr. Mime,45.0,Normal,Barrier Pokémon,40,45,65,100,120,90
122,Galarian Mr. Mime,,Normal,Dancing Pokémon,50,65,65,90,90,100
123,Scyther,45,Normal,Mantis Pokémon,70,110,80,55,80,105
124,Jynx,45,Normal,Human Shape Pokémon,65,50,35,115,95,95
125,Electabuzz,45,Normal,Electric Pokémon,65,83,57,95,85,105
126,Magmar,45,Normal,Spitfire Pokémon,65,95,57,100,85,93
127,Pinsir,45,Normal,Stag Beetle Pokémon,65,125,100,55,70,85
127,Mega Pinsir,45,Normal,Stag Beetle Pokémon,65,155,120,65,90,105
128,Tauros,45,Normal,Wild Bull Pokémon,75,100,95,40,70,110
129,Magikarp,255,Normal,Fish Pokémon,20,10,55,15,20,80
130,Gyarados,45,Normal,Atrocious Pokémon,95,125,79,60,100,81
130,Mega Gyarados,45,Normal,Atrocious Pokémon,95,155,109,70,130,81
131,Lapras,45,Normal,Transport Pokémon,130,85,80,85,95,60
132,Ditto,35,Normal,Transform Pokémon,48,48,48,48,48,48
133,Eevee,45,Normal,Evolution Pokémon,55,55,50,45,65,55
133,Partner Eevee,45,Normal,Evolution Pokémon,65,75,70,65,85,75
134,Vaporeon,45,Normal,Bubble Jet Pokémon,130,65,60,110,95,65
135,Jolteon,45,Normal,Lightning Pokémon,65,65,60,110,95,130
136,Flareon,45,Normal,Flame Pokémon,65,130,60,95,110,65
137,Porygon,45,Normal,Virtual Pokémon,65,60,70,85,75,40
138,Omanyte,45,Normal,Spiral Pokémon,35,40,100,90,55,35
139,Omastar,45,Normal,Spiral Pokémon,70,60,125,115,70,55
140,Kabuto,45,Normal,Shellfish Pokémon,30,80,90,55,45,55
141,Kabutops,45,Normal,Shellfish Pokémon,60,115,105,65,70,80
142,Aerodactyl,45,Normal,Fossil Pokémon,80,105,65,60,75,130
142,Mega Aerodactyl,45,Normal,Fossil Pokémon,80,135,85,70,95,150
143,Snorlax,25,Normal,Sleeping Pokémon,160,110,65,65,110,30
144,Articuno,3,Sub Legendary,Freeze Pokémon,90,85,100,95,125,85
145,Zapdos,3,Sub Legendary,Electric Pokémon,90,90,85,125,90,100
146,Moltres,3,Sub Legendary,Flame Pokémon,90,100,90,125,85,90
147,Dratini,45,Normal,Dragon Pokémon,41,64,45,50,50,50
148,Dragonair,45,Normal,Dragon Pokémon,61,84,65,70,70,70
149,Dragonite,45,Normal,Dragon Pokémon,91,134,95,100,100,80
150,Mewtwo,3,Legendary,Genetic Pokémon,106,110,90,154,90,130
150,Mega Mewtwo X,3,Legendary,Genetic Pokémon,106,190,100,154,100,130
150,Mega Mewtwo Y,3,Legendary,Genetic Pokémon,106,150,70,194,120,140
151,Mew,45,Mythical,New Species Pokémon,100,100,100,100,100,100
152,Chikorita,45,Normal,Leaf Pokémon,45,49,65,49,65,45
153,Bayleef,45,Normal,Leaf Pokémon,60,62,80,63,80,60
154,Meganium,45,Normal,Herb Pokémon,80,82,100,83,100,80
155,Cyndaquil,45,Normal,Fire Mouse Pokémon,39,52,43,60,50,65
156,Quilava,45,Normal,Volcano Pokémon,58,64,58,80,65,80
157,Typhlosion,45,Normal,Volcano Pokémon,78,84,78,109,85,100
158,Totodile,45,Normal,Big Jaw Pokémon,50,65,64,44,48,43
159,Croconaw,45,Normal,Big Jaw Pokémon,65,80,80,59,63,58
160,Feraligatr,45,Normal,Big Jaw Pokémon,85,105,100,79,83,78
161,Sentret,255,Normal,Scout Pokémon,35,46,34,35,45,20
162,Furret,90,Normal,Long Body Pokémon,85,76,64,45,55,90
163,Hoothoot,255,Normal,Owl Pokémon,60,30,30,36,56,50
164,Noctowl,90,Normal,Owl Pokémon,100,50,50,86,96,70
165,Ledyba,255,Normal,Five Star Pokémon,40,20,30,40,80,55
166,Ledian,90,Normal,Five Star Pokémon,55,35,50,55,110,85
167,Spinarak,255,Normal,String Spit Pokémon,40,60,40,40,40,30
168,Ariados,90,Normal,Long Leg Pokémon,70,90,70,60,70,40
169,Crobat,90,Normal,Bat Pokémon,85,90,80,70,80,130
170,Chinchou,190,Normal,Angler Pokémon,75,38,38,56,56,67
171,Lanturn,75,Normal,Light Pokémon,125,58,58,76,76,67
172,Pichu,190,Normal,Tiny Mouse Pokémon,20,40,15,35,35,60
173,Cleffa,150,Normal,Star Shape Pokémon,50,25,28,45,55,15
174,Igglybuff,170,Normal,Balloon Pokémon,90,30,15,40,20,15
175,Togepi,190,Normal,Spike Ball Pokémon,35,20,65,40,65,20
176,Togetic,75,Normal,Happiness Pokémon,55,40,85,80,105,40
177,Natu,190,Normal,Tiny Bird Pokémon,40,50,45,70,45,70
178,Xatu,75,Normal,Mystic Pokémon,65,75,70,95,70,95
179,Mareep,235,Normal,Wool Pokémon,55,40,40,65,45,35
180,Flaaffy,120,Normal,Wool Pokémon,70,55,55,80,60,45
181,Ampharos,45,Normal,Light Pokémon,90,75,85,115,90,55
181,Mega Ampharos,45,Normal,Light Pokémon,90,95,105,165,110,45
182,Bellossom,45,Normal,Flower Pokémon,75,80,95,90,100,50
183,Marill,190,Normal,Aqua Mouse Pokémon,70,20,50,20,50,40
184,Azumarill,75,Normal,Aqua Rabbit Pokémon,100,50,80,60,80,50
185,Sudowoodo,65,Normal,Imitation Pokémon,70,100,115,30,65,30
186,Politoed,45,Normal,Frog Pokémon,90,75,75,90,100,70
187,Hoppip,255,Normal,Cottonweed Pokémon,35,35,40,35,55,50
188,Skiploom,120,Normal,Cottonweed Pokémon,55,45,50,45,65,80
189,Jumpluff,45,Normal,Cottonweed Pokémon,75,55,70,55,95,110
190,Aipom,45,Normal,Long Tail Pokémon,55,70,55,40,55,85
191,Sunkern,235,Normal,Seed Pokémon,30,30,30,30,30,30
192,Sunflora,120,Normal,Sun Pokémon,75,75,55,105,85,30
193,Yanma,75,Normal,Clear Wing Pokémon,65,65,45,75,45,95
194,Wooper,255,Normal,Water Fish Pokémon,55,45,45,25,25,15
195,Quagsire,90,Normal,Water Fish Pokémon,95,85,85,65,65,35
196,Espeon,45,Normal,Sun Pokémon,65,65,60,130,95,110
197,Umbreon,45,Normal,Moonlight Pokémon,95,65,110,60,130,65
198,Murkrow,30,Normal,Darkness Pokémon,60,85,42,85,42,91
199,Slowking,70.0,Normal,Royal Pokémon,95.0,75.0,80.0,100.0,110.0,30.0
200,Misdreavus,45,Normal,Screech Pokémon,60,60,60,85,85,85
201,Unown,225,Normal,Symbol Pokémon,48,72,48,72,48,48
202,Wobbuffet,45,Normal,Patient Pokémon,190,33,58,33,58,33
203,Girafarig,60,Normal,Long Neck Pokémon,70,80,65,90,65,85
204,Pineco,190,Normal,Bagworm Pokémon,50,65,90,35,35,15
205,Forretress,75,Normal,Bagworm Pokémon,75,90,140,60,60,40
206,Dunsparce,190,Normal,Land Snake Pokémon,100,70,70,65,65,45
207,Gligar,60,Normal,FlyScorpion Pokémon,65,75,105,35,65,85
208,Steelix,25,Normal,Iron Snake Pokémon,75,85,200,55,65,30
208,Mega Steelix,25,Normal,Iron Snake Pokémon,75,125,230,55,95,30
209,Snubbull,190,Normal,Fairy Pokémon,60,80,50,40,40,30
210,Granbull,75,Normal,Fairy Pokémon,90,120,75,60,60,45
211,Qwilfish,45,Normal,Balloon Pokémon,65,95,85,55,55,85
212,Scizor,25,Normal,Pincer Pokémon,70,130,100,55,80,65
212,Mega Scizor,25,Normal,Pincer Pokémon,70,150,140,65,100,75
213,Shuckle,190,Normal,Mold Pokémon,20,10,230,10,230,5
214,Heracross,45,Normal,Single Horn Pokémon,80,125,75,40,95,85
214,Mega Heracross,45,Normal,Single Horn Pokémon,80,185,115,40,105,75
215,Sneasel,60,Normal,Sharp Claw Pokémon,55,95,55,35,75,115
216,Teddiursa,120,Normal,Little Bear Pokémon,60,80,50,50,50,40
217,Ursaring,60,Normal,Hibernator Pokémon,90,130,75,75,75,55
218,Slugma,190,Normal,Lava Pokémon,40,40,40,70,40,20
219,Magcargo,75,Normal,Lava Pokémon,60,50,120,90,80,30
220,Swinub,225,Normal,Pig Pokémon,50,50,40,30,30,50
221,Piloswine,75,Normal,Swine Pokémon,100,100,80,60,60,50
222,Corsola,60.0,Normal,Coral Pokémon,65,55,95,65,95,35
222,Galarian Corsola,,Normal,Coral Pokémon,60,55,100,65,100,30
223,Remoraid,190,Normal,Jet Pokémon,35,65,35,65,35,65
224,Octillery,75,Normal,Jet Pokémon,75,105,75,105,75,45
225,Delibird,45,Normal,Delivery Pokémon,45,55,45,65,45,75
226,Mantine,25,Normal,Kite Pokémon,85,40,70,80,140,70
227,Skarmory,25,Normal,Armor Bird Pokémon,65,80,140,40,70,70
228,Houndour,120,Normal,Dark Pokémon,45,60,30,80,50,65
229,Houndoom,45,Normal,Dark Pokémon,75,90,50,110,80,95
229,Mega Houndoom,45,Normal,Dark Pokémon,75,90,90,140,90,115
230,Kingdra,45,Normal,Dragon Pokémon,75,95,95,95,95,85
231,Phanpy,120,Normal,Long Nose Pokémon,90,60,60,40,40,40
232,Donphan,60,Normal,Armor Pokémon,90,120,120,60,60,50
233,Porygon2,45,Normal,Virtual Pokémon,85,80,90,105,95,60
234,Stantler,45,Normal,Big Horn Pokémon,73,95,62,85,65,85
235,Smeargle,45,Normal,Painter Pokémon,55,20,35,20,45,75
236,Tyrogue,75,Normal,Scuffle Pokémon,35,35,35,35,35,35
237,Hitmontop,45,Normal,Handstand Pokémon,50,95,95,35,110,70
238,Smoochum,45,Normal,Kiss Pokémon,45,30,15,85,65,65
239,Elekid,45,Normal,Electric Pokémon,45,63,37,65,55,95
240,Magby,45,Normal,Live Coal Pokémon,45,75,37,70,55,83
241,Miltank,45,Normal,Milk Cow Pokémon,95,80,105,40,70,100
242,Blissey,30,Normal,Happiness Pokémon,255,10,10,75,135,55
243,Raikou,3,Sub Legendary,Thunder Pokémon,90,85,75,115,100,115
244,Entei,3,Sub Legendary,Volcano Pokémon,115,115,85,90,75,100
245,Suicune,3,Sub Legendary,Aurora Pokémon,100,75,115,90,115,85
246,Larvitar,45,Normal,Rock Skin Pokémon,50,64,50,45,50,41
247,Pupitar,45,Normal,Hard Shell Pokémon,70,84,70,65,70,51
248,Tyranitar,45,Normal,Armor Pokémon,100,134,110,95,100,61
248,Mega Tyranitar,45,Normal,Armor Pokémon,100,164,150,95,120,71
249,Lugia,3,Legendary,Diving Pokémon,106,90,130,90,154,110
250,Ho-oh,3,Legendary,Rainbow Pokémon,106,130,90,110,154,90
251,Celebi,45,Mythical,Time Travel Pokémon,100,100,100,100,100,100
252,Treecko,45,Normal,Wood Gecko Pokémon,40,45,35,65,55,70
253,Grovyle,45,Normal,Wood Gecko Pokémon,50,65,45,85,65,95
254,Sceptile,45,Normal,Forest Pokémon,70,85,65,105,85,120
254,Mega Sceptile,45,Normal,Forest Pokémon,70,110,75,145,85,145
255,Torchic,45,Normal,Chick Pokémon,45,60,40,70,50,45
256,Combusken,45,Normal,Young Fowl Pokémon,60,85,60,85,60,55
257,Blaziken,45,Normal,Blaze Pokémon,80,120,70,110,70,80
257,Mega Blaziken,45,Normal,Blaze Pokémon,80,160,80,130,80,100
258,Mudkip,45,Normal,Mud Fish Pokémon,50,70,50,50,50,40
259,Marshtomp,45,Normal,Mud Fish Pokémon,70,85,70,60,70,50
260,Swampert,45,Normal,Mud Fish Pokémon,100,110,90,85,90,60
260,Mega Swampert,45,Normal,Mud Fish Pokémon,100,150,110,95,110,70
261,Poochyena,255,Normal,Bite Pokémon,35,55,35,30,30,35
262,Mightyena,127,Normal,Bite Pokémon,70,90,70,60,60,70
263,Zigzagoon,255.0,Normal,TinyRaccoon Pokémon,38,30,41,30,41,60
263,Galarian Zigzagoon,,Normal,Tiny Raccoon Pokémon,38,30,41,30,41,60
264,Linoone,90.0,Normal,Rushing Pokémon,78,70,61,50,61,100
264,Galarian Linoone,,Normal,Rushing Pokémon,78,70,61,50,61,100
265,Wurmple,255,Normal,Worm Pokémon,45,45,35,20,30,20
266,Silcoon,120,Normal,Cocoon Pokémon,50,35,55,25,25,15
267,Beautifly,45,Normal,Butterfly Pokémon,60,70,50,100,50,65
268,Cascoon,120,Normal,Cocoon Pokémon,50,35,55,25,25,15
269,Dustox,45,Normal,Poison Moth Pokémon,60,50,70,50,90,65
270,Lotad,255,Normal,Water Weed Pokémon,40,30,30,40,50,30
271,Lombre,120,Normal,Jolly Pokémon,60,50,50,60,70,50
272,Ludicolo,45,Normal,Carefree Pokémon,80,70,70,90,100,70
273,Seedot,255,Normal,Acorn Pokémon,40,40,50,30,30,30
274,Nuzleaf,120,Normal,Wily Pokémon,70,70,40,60,40,60
275,Shiftry,45,Normal,Wicked Pokémon,90,100,60,90,60,80
276,Taillow,200,Normal,TinySwallow Pokémon,40,55,30,30,30,85
277,Swellow,45,Normal,Swallow Pokémon,60,85,60,75,50,125
278,Wingull,190,Normal,Seagull Pokémon,40,30,30,55,30,85
279,Pelipper,45,Normal,Water Bird Pokémon,60,50,100,95,70,65
280,Ralts,235,Normal,Feeling Pokémon,28,25,25,45,35,40
281,Kirlia,120,Normal,Emotion Pokémon,38,35,35,65,55,50
282,Gardevoir,45,Normal,Embrace Pokémon,68,65,65,125,115,80
282,Mega Gardevoir,45,Normal,Embrace Pokémon,68,85,65,165,135,100
283,Surskit,200,Normal,Pond Skater Pokémon,40,30,32,50,52,65
284,Masquerain,75,Normal,Eyeball Pokémon,70,60,62,100,82,80
285,Shroomish,255,Normal,Mushroom Pokémon,60,40,60,40,60,35
286,Breloom,90,Normal,Mushroom Pokémon,60,130,80,60,60,70
287,Slakoth,255,Normal,Slacker Pokémon,60,60,60,35,35,30
288,Vigoroth,120,Normal,Wild Monkey Pokémon,80,80,80,55,55,90
289,Slaking,45,Normal,Lazy Pokémon,150,160,100,95,65,100
290,Nincada,255,Normal,Trainee Pokémon,31,45,90,30,30,40
291,Ninjask,120,Normal,Ninja Pokémon,61,90,45,50,50,160
292,Shedinja,45,Normal,Shed Pokémon,1,90,45,30,30,40
293,Whismur,190,Normal,Whisper Pokémon,64,51,23,51,23,28
294,Loudred,120,Normal,Big Voice Pokémon,84,71,43,71,43,48
295,Exploud,45,Normal,Loud Noise Pokémon,104,91,63,91,73,68
296,Makuhita,180,Normal,Guts Pokémon,72,60,30,20,30,25
297,Hariyama,200,Normal,Arm Thrust Pokémon,144,120,60,40,60,50
298,Azurill,150,Normal,Polka Dot Pokémon,50,20,40,20,40,20
299,Nosepass,255,Normal,Compass Pokémon,30,45,135,45,90,30
300,Skitty,255,Normal,Kitten Pokémon,50,45,45,35,35,50
301,Delcatty,60,Normal,Prim Pokémon,70,65,65,55,55,90
302,Sableye,45,Normal,Darkness Pokémon,50,75,75,65,65,50
302,Mega Sableye,45,Normal,Darkness Pokémon,50,85,125,85,115,20
303,Mawile,45,Normal,Deceiver Pokémon,50,85,85,55,55,50
303,Mega Mawile,45,Normal,Deceiver Pokémon,50,105,125,55,95,50
304,Aron,180,Normal,Iron Armor Pokémon,50,70,100,40,40,30
305,Lairon,90,Normal,Iron Armor Pokémon,60,90,140,50,50,40
306,Aggron,45,Normal,Iron Armor Pokémon,70,110,180,60,60,50
306,Mega Aggron,45,Normal,Iron Armor Pokémon,70,140,230,60,80,50
307,Meditite,180,Normal,Meditate Pokémon,30,40,55,40,55,60
308,Medicham,90,Normal,Meditate Pokémon,60,60,75,60,75,80
308,Mega Medicham,90,Normal,Meditate Pokémon,60,100,85,80,85,100
309,Electrike,120,Normal,Lightning Pokémon,40,45,40,65,40,65
310,Manectric,45,Normal,Discharge Pokémon,70,75,60,105,60,105
310,Mega Manectric,45,Normal,Discharge Pokémon,70,75,80,135,80,135
311,Plusle,200,Normal,Cheering Pokémon,60,50,40,85,75,95
312,Minun,200,Normal,Cheering Pokémon,60,40,50,75,85,95
313,Volbeat,150,Normal,Firefly Pokémon,65,73,75,47,85,85
314,Illumise,150,Normal,Firefly Pokémon,65,47,75,73,85,85
315,Roselia,150,Normal,Thorn Pokémon,50,60,45,100,80,65
316,Gulpin,225,Normal,Stomach Pokémon,70,43,53,43,53,40
