pokedex_number,name,catch_rate,status,species,hp,attack,defense,sp_attack,sp_defense,speed
143,Snorlax,25,Normal,Sleeping Pokémon,160,110,65,65,110,30
144,Articuno,3,Sub Legendary,Freeze Pokémon,90,85,100,95,125,85
145,Zapdos,3,Sub Legendary,Electric Pokémon,90,90,85,125,90,100
146,Moltres,3,Sub Legendary,Flame Pokémon,90,100,90,125,85,90
147,Dratini,45,Normal,Dragon Pokémon,41,64,45,50,50,50
148,Dragonair,45,Normal,Dragon Pokémon,61,84,65,70,70,70
149,Dragonite,45,Normal,Dragon Pokémon,91,134,95,100,100,80
150,Mewtwo,3,Legendary,Genetic Pokémon,106,110,90,154,90,130
151,Mew,45,Mythical,New Species Pokémon,100,100,100,100,100,100
152,Chikorita,45,Normal,Leaf Pokémon,45,49,65,49,65,45
153,Bayleef,45,Normal,Leaf Pokémon,60,62,80,63,80,60
154,Meganium,45,Normal,Herb Pokémon,80,82,100,83,100,80
155,Cyndaquil,45,Normal,Fire Mouse Pokémon,39,52,43,60,50,65
156,Quilava,45,Normal,Volcano Pokémon,58,64,58,80,65,80
157,Typhlosion,45,Normal,Volcano Pokémon,78,84,78,109,85,100
158,Totodile,45,Normal,Big Jaw Pokémon,50,65,64,44,48,43
159,Croconaw,45,Normal,Big Jaw Pokémon,65,80,80,59,63,58
160,Feraligatr,45,Normal,Big Jaw Pokémon,85,105,100,79,83,78
161,Sentret,255,Normal,Scout Pokémon,35,46,34,35,45,20
162,Furret,90,Normal,Long Body Pokémon,85,76,64,45,55,90
163,Hoothoot,255,Normal,Owl Pokémon,60,30,30,36,56,50
164,Noctowl,90,Normal,Owl Pokémon,100,50,50,86,96,70
165,Ledyba,255,Normal,Five Star Pokémon,40,20,30,40,80,55
166,Ledian,90,Normal,Five Star Pokémon,55,35,50,55,110,85
167,Spinarak,255,Normal,String Spit Pokémon,40,60,40,40,40,30
168,Ariados,90,Normal,Long Leg Pokémon,70,90,70,60,70,40
169,Crobat,90,Normal,Bat Pokémon,85,90,80,70,80,130
170,Chinchou,190,Normal,Angler Pokémon,75,38,38,56,56,67
171,Lanturn,75,Normal,Light Pokémon,125,58,58,76,76,67
172,Pichu,190,Normal,Tiny Mouse Pokémon,20,40,15,35,35,60
173,Cleffa,150,Normal,Star Shape Pokémon,50,25,28,45,55,15
174,Igglybuff,170,Normal,Balloon Pokémon,90,30,15,40,20,15
175,Togepi,190,Normal,Spike Ball Pokémon,35,20,65,40,65,20
176,Togetic,75,Normal,Happiness Pokémon,55,40,85,80,105,40
177,Natu,190,Normal,Tiny Bird Pokémon,40,50,45,70,45,70
178,Xatu,75,Normal,Mystic Pokémon,65,75,70,95,70,95
179,Mareep,235,Normal,Wool Pokémon,55,40,40,65,45,35
180,Flaaffy,120,Normal,Wool Pokémon,70,55,55,80,60,45
181,Ampharos,45,Normal,Light Pokémon,90,75,85,115,90,55
182,Bellossom,45,Normal,Flower Pokémon,75,80,95,90,100,50
183,Marill,190,Normal,Aqua Mouse Pokémon,70,20,50,20,50,40
184,Azumarill,75,Normal,Aqua Rabbit Pokémon,100,50,80,60,80,50
185,Sudowoodo,65,Normal,Imitation Pokémon,70,100,115,30,65,30
186,Politoed,45,Normal,Frog Pokémon,90,75,75,90,100,70
187,Hoppip,255,Normal,Cottonweed Pokémon,35,35,40,35,55,50
188,Skiploom,120,Normal,Cottonweed Pokémon,55,45,50,45,65,80
189,Jumpluff,45,Normal,Cottonweed Pokémon,75,55,70,55,95,110
190,Aipom,45,Normal,Long Tail Pokémon,55,70,55,40,55,85
191,Sunkern,235,Normal,Seed Pokémon,30,30,30,30,30,30
192,Sunflora,120,Normal,Sun Pokémon,75,75,55,105,85,30
193,Yanma,75,Normal,Clear Wing Pokémon,65,65,45,75,45,95
194,Wooper,255,Normal,Water Fish Pokémon,55,45,45,25,25,15
195,Quagsire,90,Normal,Water Fish Pokémon,95,85,85,65,65,35
196,Espeon,45,Normal,Sun Pokémon,65,65,60,130,95,110
197,Umbreon,45,Normal,Moonlight Pokémon,95,65,110,60,130,65
198,Murkrow,30,Normal,Darkness Pokémon,60,85,42,85,42,91
199,Slowking,70,Normal,Royal Pokémon,95,75,80,100,110,30
200,Misdreavus,45,Normal,Screech Pokémon,60,60,60,85,85,85
201,Unown,225,Normal,Symbol Pokémon,48,72,48,72,48,48
202,Wobbuffet,45,Normal,Patient Pokémon,190,33,58,33,58,33
203,Girafarig,60,Normal,Long Neck Pokémon,70,80,65,90,65,85
204,Pineco,190,Normal,Bagworm Pokémon,50,65,90,35,35,15
205,Forretress,75,Normal,Bagworm Pokémon,75,90,140,60,60,40
206,Dunsparce,190,Normal,Land Snake Pokémon,100,70,70,65,65,45
207,Gligar,60,Normal,FlyScorpion Pokémon,65,75,105,35,65,85
208,Steelix,25,Normal,Iron Snake Pokémon,75,85,200,55,65,30
209,Snubbull,190,Normal,Fairy Pokémon,60,80,50,40,40,30
210,Granbull,75,Normal,Fairy Pokémon,90,120,75,60,60,45
211,Qwilfish,45,Normal,Balloon Pokémon,65,95,85,55,55,85
212,Scizor,25,Normal,Pincer Pokémon,70,130,100,55,80,65
213,Shuckle,190,Normal,Mold Pokémon,20,10,230,10,230,5
214,Heracross,45,Normal,Single Horn Pokémon,80,125,75,40,95,85
215,Sneasel,60,Normal,Sharp Claw Pokémon,55,95,55,35,75,115
216,Teddiursa,120,Normal,Little Bear Pokémon,60,80,50,50,50,40
217,Ursaring,60,Normal,Hibernator Pokémon,90,130,75,75,75,55
218,Slugma,190,Normal,Lava Pokémon,40,40,40,70,40,20
219,Magcargo,75,Normal,Lava Pokémon,60,50,120,90,80,30
220,Swinub,225,Normal,Pig Pokémon,50,50,40,30,30,50
221,Piloswine,75,Normal,Swine Pokémon,100,100,80,60,60,50
222,Corsola,60,Normal,Coral Pokémon,65,55,95,65,95,35
223,Remoraid,190,Normal,Jet Pokémon,35,65,35,65,35,65
224,Octillery,75,Normal,Jet Pokémon,75,105,75,105,75,45
225,Delibird,45,Normal,Delivery Pokémon,45,55,45,65,45,75
226,Mantine,25,Normal,Kite Pokémon,85,40,70,80,140,70
227,Skarmory,25,Normal,Armor Bird Pokémon,65,80,140,40,70,70
228,Houndour,120,Normal,Dark Pokémon,45,60,30,80,50,65
229,Houndoom,45,Normal,Dark Pokémon,75,90,50,110,80,95
230,Kingdra,45,Normal,Dragon Pokémon,75,95,95,95,95,85
231,Phanpy,120,Normal,Long Nose Pokémon,90,60,60,40,40,40
232,Donphan,60,Normal,Armor Pokémon,90,120,120,60,60,50
233,Porygon2,45,Normal,Virtual Pokémon,85,80,90,105,95,60
234,Stantler,45,Normal,Big Horn Pokémon,73,95,62,85,65,85
235,Smeargle,45,Normal,Painter Pokémon,55,20,35,20,45,75
236,Tyrogue,75,Normal,Scuffle Pokémon,35,35,35,35,35,35
237,Hitmontop,45,Normal,Handstand Pokémon,50,95,95,35,110,70
238,Smoochum,45,Normal,Kiss Pokémon,45,30,15,85,65,65
239,Elekid,45,Normal,Electric Pokémon,45,63,37,65,55,95
240,Magby,45,Normal,Live Coal Pokémon,45,75,37,70,55,83
241,Miltank,45,Normal,Milk Cow Pokémon,95,80,105,40,70,100
242,Blissey,30,Normal,Happiness Pokémon,255,10,50,75,135,55
243,Raikou,3,Sub Legendary,Thunder Pokémon,90,85,75,115,100,115
244,Entei,3,Sub Legendary,Volcano Pokémon,115,115,85,90,75,100
245,Suicune,3,Sub Legendary,Aurora Pokémon,100,75,115,90,115,85
246,Larvitar,45,Normal,Rock Skin Pokémon,50,64,50,45,50,41
247,Pupitar,45,Normal,Hard Shell Pokémon,70,84,70,65,70,51
248,Tyranitar,45,Normal,Armor Pokémon,100,134,110,95,100,61
249,Lugia,3,Legendary,Diving Pokémon,106,90,130,90,154,110
250,Ho-oh,3,Legendary,Rainbow Pokémon,106,130,90,110,154,90
251,Celebi,45,Mythical,Time Travel Pokémon,100,100,100,100,100,100
